datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Coal,16268,0.169,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Gas,42960,0.447,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Hydro,1169,0.012,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Multiple Fuels,826,0.008,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Nuclear,32396,0.337,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Oil,212,0.002,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Other Renewables,525,0.005,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Solar,10,0.000,True
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Storage,0,0.000,False
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,Wind,1654,0.017,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Coal,17801,0.176,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Gas,45243,0.448,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Hydro,1572,0.015,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Multiple Fuels,1090,0.010,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Nuclear,32312,0.320,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Oil,543,0.005,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Other Renewables,519,0.005,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Solar,10,0.000,True
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Storage,0,0.000,False
6/5/2025 3:00:00 AM,6/4/2025 11:00:00 PM,Wind,1794,0.017,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Coal,18252,0.170,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Gas,49030,0.457,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Hydro,3190,0.029,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Multiple Fuels,1598,0.014,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Nuclear,32238,0.300,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Oil,608,0.005,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Other Renewables,527,0.004,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Solar,10,0.000,True
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Storage,0,0.000,False
6/5/2025 2:00:00 AM,6/4/2025 10:00:00 PM,Wind,1773,0.016,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Coal,18706,0.163,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Gas,54201,0.472,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Hydro,4857,0.042,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Multiple Fuels,1784,0.015,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Nuclear,32207,0.280,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Oil,673,0.005,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Other Renewables,506,0.004,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Solar,12,0.000,True
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Storage,2,0.000,False
6/5/2025 1:00:00 AM,6/4/2025 9:00:00 PM,Wind,1816,0.015,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Coal,18641,0.159,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Gas,55640,0.477,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Hydro,5195,0.044,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Multiple Fuels,1990,0.017,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Nuclear,32079,0.275,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Oil,678,0.005,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Other Renewables,514,0.004,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Solar,200,0.001,True
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Storage,9,0.000,False
6/5/2025 12:00:00 AM,6/4/2025 8:00:00 PM,Wind,1669,0.014,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Coal,18521,0.155,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Gas,56681,0.474,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Hydro,5717,0.047,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Multiple Fuels,1925,0.016,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Nuclear,32043,0.268,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Oil,764,0.006,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Other Renewables,514,0.004,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Solar,1520,0.012,True
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Storage,2,0.000,False
6/4/2025 11:00:00 PM,6/4/2025 7:00:00 PM,Wind,1657,0.013,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Coal,18408,0.151,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Gas,56089,0.462,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Hydro,5894,0.048,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Multiple Fuels,1721,0.014,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Nuclear,32031,0.264,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Oil,703,0.005,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Other Renewables,500,0.004,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Solar,4005,0.033,True
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Storage,1,0.000,False
6/4/2025 10:00:00 PM,6/4/2025 6:00:00 PM,Wind,1917,0.015,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Coal,17842,0.146,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Gas,54181,0.445,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Hydro,5999,0.049,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Multiple Fuels,1523,0.012,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Nuclear,32037,0.263,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Oil,605,0.005,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Other Renewables,504,0.004,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Solar,6437,0.053,True
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Storage,8,0.000,False
6/4/2025 9:00:00 PM,6/4/2025 5:00:00 PM,Wind,2435,0.020,True
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Coal,17319,0.144,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Gas,52238,0.434,False
6/4/2025 8:00:00 PM,6/4/2025 4:00:00 PM,Hydro,5528,0.046,True
