datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Coal,10253,0.132,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Gas,30444,0.394,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Hydro,1361,0.017,True
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Multiple Fuels,325,0.004,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Nuclear,32033,0.414,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Oil,215,0.002,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Other Renewables,501,0.006,True
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Solar,0,0.000,True
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Storage,0,0.000,False
6/2/2025 4:00:00 AM,6/2/2025 12:00:00 AM,Wind,2072,0.026,True
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Coal,10835,0.133,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Gas,33831,0.417,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Hydro,1539,0.019,True
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Multiple Fuels,307,0.003,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Nuclear,32026,0.395,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Oil,216,0.002,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Other Renewables,497,0.006,True
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Solar,0,0.000,True
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Storage,0,0.000,False
6/2/2025 3:00:00 AM,6/1/2025 11:00:00 PM,Wind,1809,0.022,True
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Coal,11248,0.130,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Gas,36872,0.426,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Hydro,3554,0.041,True
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Multiple Fuels,353,0.004,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Nuclear,32015,0.370,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Oil,214,0.002,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Other Renewables,517,0.006,True
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Solar,0,0.000,True
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Storage,0,0.000,False
6/2/2025 2:00:00 AM,6/1/2025 10:00:00 PM,Wind,1749,0.020,True
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Coal,11396,0.126,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Gas,38373,0.426,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Hydro,5561,0.061,True
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Multiple Fuels,354,0.004,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Nuclear,31999,0.356,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Oil,240,0.002,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Other Renewables,531,0.005,True
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Solar,3,0.000,True
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Storage,3,0.000,False
6/2/2025 1:00:00 AM,6/1/2025 9:00:00 PM,Wind,1435,0.016,True
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Coal,11085,0.123,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Gas,38192,0.426,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Hydro,5833,0.065,True
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Multiple Fuels,357,0.004,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Nuclear,31987,0.356,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Oil,209,0.002,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Other Renewables,526,0.005,True
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Solar,488,0.005,True
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Storage,14,0.000,False
6/2/2025 12:00:00 AM,6/1/2025 8:00:00 PM,Wind,946,0.010,True
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Coal,10555,0.118,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Gas,36281,0.407,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Hydro,5248,0.058,True
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Multiple Fuels,343,0.003,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Nuclear,31976,0.358,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Oil,208,0.002,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Other Renewables,529,0.006,True
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Solar,2907,0.032,True
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Storage,13,0.000,False
6/1/2025 11:00:00 PM,6/1/2025 7:00:00 PM,Wind,1069,0.012,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Coal,10159,0.114,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Gas,34517,0.389,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Hydro,3477,0.039,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Multiple Fuels,225,0.002,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Nuclear,31939,0.360,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Oil,208,0.002,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Other Renewables,565,0.006,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Solar,6171,0.069,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Storage,10,0.000,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Wind,1272,0.014,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Coal,9612,0.109,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Gas,33612,0.382,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Hydro,2728,0.031,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Multiple Fuels,111,0.001,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Nuclear,31913,0.362,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Oil,210,0.002,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Other Renewables,564,0.006,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Solar,7741,0.088,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Storage,0,0.000,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Wind,1450,0.016,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Coal,9311,0.108,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Gas,30037,0.350,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Hydro,2707,0.031,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Multiple Fuels,24,0.000,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Nuclear,31894,0.372,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Oil,211,0.002,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Other Renewables,557,0.006,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Solar,9365,0.109,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Storage,0,0.000,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Wind,1584,0.018,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Coal,9385,0.113,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Gas,26565,0.319,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Hydro,2373,0.028,True
