datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,AE,1130.742000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,AEP,15074.186500
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,APS,5302.902340
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,ATSI,7777.707520
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,BC,3216.511720
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,COMED,9319.140000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,DAYTON,2044.729370
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,DEOK,3174.298580
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,DOM,14358.816400
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,DPL,1823.680910
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,DUQ,1515.893800
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,EKPC,1379.533570
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,JC,2695.564000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,ME,1701.112790
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PE,4228.398440
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PEP,3136.192000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PJM MID ATLANTIC REGION,29566.130000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PJM RTO,89513.335900
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PJM WESTERN REGION,44212.523400
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PL,4380.930000
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PN,1883.387700
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PS,5303.391600
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,RECO,174.423859
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,UG,106.240005
6/5/2025 4:00:00 AM,6/5/2025 12:00:00 AM,PJM SOUTHERN REGION,14358.816400
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,AE,1140.938720
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,AEP,15272.284200
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,APS,5334.762700
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,ATSI,7930.169430
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,BC,3252.310550
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,COMED,9374.113000
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,DAYTON,2051.338870
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,DEOK,3174.253420
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,DOM,14411.080000
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,DPL,1837.676000
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,DUQ,1508.508180
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,EKPC,1502.941280
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,JC,2655.067870
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,ME,1716.198610
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PE,4272.592000
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PEP,3158.672610
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PJM MID ATLANTIC REGION,29758.312500
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PJM RTO,90317.765600
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PJM WESTERN REGION,44645.430000
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PL,4412.705570
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PN,1881.078130
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PS,5330.843260
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,RECO,175.551346
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,UG,106.240005
6/5/2025 3:55:00 AM,6/4/2025 11:55:00 PM,PJM SOUTHERN REGION,14411.080000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,AE,1146.037230
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,AEP,15342.747100
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,APS,5340.303710
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,ATSI,7957.068000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,BC,3274.651120
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,COMED,9431.935000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,DAYTON,2067.072270
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,DEOK,3251.204000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,DOM,14420.102500
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,DPL,1848.309810
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,DUQ,1543.456790
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,EKPC,1402.687870
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,JC,2726.519530
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,ME,1732.996700
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PE,4312.607000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PEP,3200.589840
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PJM MID ATLANTIC REGION,30145.043000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PJM RTO,90901.610000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PJM WESTERN REGION,44933.785200
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PL,4462.898440
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PN,1935.313720
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PS,5382.258000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,RECO,178.210037
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,UG,107.540000
6/5/2025 3:50:00 AM,6/4/2025 11:50:00 PM,PJM SOUTHERN REGION,14420.102500
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,AE,1156.184450
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,AEP,15324.336900
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,APS,5369.933000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,ATSI,7895.577640
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,BC,3299.621580
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,COMED,9495.261000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,DAYTON,2083.628170
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,DEOK,3211.502440
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,DOM,14515.811500
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,DPL,1868.088130
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,DUQ,1537.235350
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,EKPC,1551.879000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,JC,2655.553220
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,ME,1736.039550
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PE,4334.703610
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PEP,3214.169190
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PJM MID ATLANTIC REGION,30278.974600
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PJM RTO,91264.140000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PJM WESTERN REGION,44915.726600
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PL,4463.645000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PN,1944.820310
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PS,5416.525000
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,RECO,178.365100
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,UG,107.840004
6/5/2025 3:45:00 AM,6/4/2025 11:45:00 PM,PJM SOUTHERN REGION,14515.811500
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,AE,1164.902100
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,AEP,15236.424800
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,APS,5425.367680
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,ATSI,7843.759280
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,BC,3331.910640
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,COMED,9557.875000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,DAYTON,2094.676000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,DEOK,3245.193850
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,DOM,14601.587900
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,DPL,1882.395750
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,DUQ,1546.803710
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,EKPC,1534.993160
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,JC,2658.655760
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,ME,1752.054930
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PE,4355.973000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PEP,3264.775150
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PJM MID ATLANTIC REGION,30371.585900
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PJM RTO,91462.010000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PJM WESTERN REGION,44953.840000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PL,4505.053000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PN,1922.119870
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PS,5451.668460
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,RECO,180.258087
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,UG,108.140000
6/5/2025 3:40:00 AM,6/4/2025 11:40:00 PM,PJM SOUTHERN REGION,14601.587900
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,AE,1173.553710
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,AEP,15418.206100
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,APS,5477.683590
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,ATSI,7929.156000
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,BC,3361.694000
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,COMED,9618.378000
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,DAYTON,2099.850830
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,DEOK,3299.500000
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,DOM,14577.811500
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,DPL,1897.208740
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,DUQ,1568.070800
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,EKPC,1459.299680
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,JC,2855.354490
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,ME,1763.808000
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,PE,4396.323730
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,PEP,3258.173580
6/5/2025 3:35:00 AM,6/4/2025 11:35:00 PM,PJM MID ATLANTIC REGION,30787.982400
