datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
9/10/2025 4:00:00 AM,9/10/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,21.74,22.966768,1.440414,-0.213646,True,1
9/10/2025 5:00:00 AM,9/10/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,22.96,24.453121,1.770101,-0.276980,True,1
9/10/2025 6:00:00 AM,9/10/2025 2:00:00 AM,51288,WESTERN HUB,,,HUB,,20.76,21.788226,1.298540,-0.270314,True,1
9/10/2025 7:00:00 AM,9/10/2025 3:00:00 AM,51288,WESTERN HUB,,,HUB,,20.02,21.063539,1.330727,-0.287188,True,1
9/10/2025 8:00:00 AM,9/10/2025 4:00:00 AM,51288,WESTERN HUB,,,HUB,,21.09,22.244268,1.411039,-0.256771,True,1
9/10/2025 9:00:00 AM,9/10/2025 5:00:00 AM,51288,WESTERN HUB,,,HUB,,28.24,29.799788,1.529476,0.030312,True,1
9/10/2025 10:00:00 AM,9/10/2025 6:00:00 AM,51288,WESTERN HUB,,,HUB,,39.02,41.684577,2.425412,0.239165,True,1
9/10/2025 11:00:00 AM,9/10/2025 7:00:00 AM,51288,WESTERN HUB,,,HUB,,44.63,47.921243,2.473641,0.817602,True,1
9/10/2025 12:00:00 PM,9/10/2025 8:00:00 AM,51288,WESTERN HUB,,,HUB,,32.72,33.874580,0.896248,0.258332,True,1
9/10/2025 1:00:00 PM,9/10/2025 9:00:00 AM,51288,WESTERN HUB,,,HUB,,30.24,31.590309,0.966561,0.383748,True,1
9/10/2025 2:00:00 PM,9/10/2025 10:00:00 AM,51288,WESTERN HUB,,,HUB,,32.12,32.881665,0.335416,0.426249,True,1
9/10/2025 3:00:00 PM,9/10/2025 11:00:00 AM,51288,WESTERN HUB,,,HUB,,31.34,32.112081,0.412603,0.359478,True,1
9/10/2025 4:00:00 PM,9/10/2025 12:00:00 PM,51288,WESTERN HUB,,,HUB,,30.79,32.256038,1.199373,0.266665,True,1
9/10/2025 5:00:00 PM,9/10/2025 1:00:00 PM,51288,WESTERN HUB,,,HUB,,36.61,39.030619,2.263329,0.157290,True,1
9/10/2025 6:00:00 PM,9/10/2025 2:00:00 PM,51288,WESTERN HUB,,,HUB,,36.97,40.519992,3.336765,0.213227,True,1
9/10/2025 7:00:00 PM,9/10/2025 3:00:00 PM,51288,WESTERN HUB,,,HUB,,38.76,43.211658,4.177284,0.274374,True,1
9/10/2025 8:00:00 PM,9/10/2025 4:00:00 PM,51288,WESTERN HUB,,,HUB,,39.52,43.447597,3.385828,0.541769,True,1
9/10/2025 9:00:00 PM,9/10/2025 5:00:00 PM,51288,WESTERN HUB,,,HUB,,45.34,50.918012,4.722285,0.855727,True,1
9/10/2025 10:00:00 PM,9/10/2025 6:00:00 PM,51288,WESTERN HUB,,,HUB,,54.69,60.946657,5.415097,0.841560,True,1
9/10/2025 11:00:00 PM,9/10/2025 7:00:00 PM,51288,WESTERN HUB,,,HUB,,66.11,72.739676,5.905721,0.723955,True,1
9/11/2025 12:00:00 AM,9/10/2025 8:00:00 PM,51288,WESTERN HUB,,,HUB,,55.33,59.913637,4.231869,0.351768,True,1
9/11/2025 1:00:00 AM,9/10/2025 9:00:00 PM,51288,WESTERN HUB,,,HUB,,41.40,44.597493,3.219891,-0.022398,True,1
9/11/2025 2:00:00 AM,9/10/2025 10:00:00 PM,51288,WESTERN HUB,,,HUB,,34.98,37.301037,2.328850,-0.007813,True,1
9/11/2025 3:00:00 AM,9/10/2025 11:00:00 PM,51288,WESTERN HUB,,,HUB,,30.09,31.525517,1.446039,-0.010522,True,1
9/11/2025 4:00:00 AM,9/11/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,25.72,26.516039,0.878124,-0.082085,True,1
9/11/2025 5:00:00 AM,9/11/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,22.30,22.556769,0.298854,-0.042085,True,1
9/11/2025 6:00:00 AM,9/11/2025 2:00:00 AM,51288,WESTERN HUB,,,HUB,,20.45,20.729165,0.444166,-0.165001,True,1
9/11/2025 7:00:00 AM,9/11/2025 3:00:00 AM,51288,WESTERN HUB,,,HUB,,19.29,19.514061,0.437187,-0.213126,True,1
9/11/2025 8:00:00 AM,9/11/2025 4:00:00 AM,51288,WESTERN HUB,,,HUB,,20.14,20.421353,0.464166,-0.182813,True,1
9/11/2025 9:00:00 AM,9/11/2025 5:00:00 AM,51288,WESTERN HUB,,,HUB,,25.32,26.224581,1.069374,-0.164793,True,1
9/11/2025 10:00:00 AM,9/11/2025 6:00:00 AM,51288,WESTERN HUB,,,HUB,,34.45,37.677807,3.228121,-0.000314,True,1
9/11/2025 11:00:00 AM,9/11/2025 7:00:00 AM,51288,WESTERN HUB,,,HUB,,34.60,37.268745,2.693122,-0.024377,True,1
9/11/2025 12:00:00 PM,9/11/2025 8:00:00 AM,51288,WESTERN HUB,,,HUB,,26.82,27.999059,1.260206,-0.081147,True,1
9/11/2025 1:00:00 PM,9/11/2025 9:00:00 AM,51288,WESTERN HUB,,,HUB,,22.45,23.039164,0.512811,0.076353,True,1
9/11/2025 2:00:00 PM,9/11/2025 10:00:00 AM,51288,WESTERN HUB,,,HUB,,25.37,25.903540,0.277290,0.256250,True,1
9/11/2025 3:00:00 PM,9/11/2025 11:00:00 AM,51288,WESTERN HUB,,,HUB,,26.55,27.582810,0.788748,0.244062,True,1
9/11/2025 4:00:00 PM,9/11/2025 12:00:00 PM,51288,WESTERN HUB,,,HUB,,28.76,29.723643,0.868227,0.095416,True,1
9/11/2025 5:00:00 PM,9/11/2025 1:00:00 PM,51288,WESTERN HUB,,,HUB,,33.09,34.650308,1.564684,-0.004376,True,1
9/11/2025 6:00:00 PM,9/11/2025 2:00:00 PM,51288,WESTERN HUB,,,HUB,,35.48,36.533850,1.182497,-0.128647,True,1
9/11/2025 7:00:00 PM,9/11/2025 3:00:00 PM,51288,WESTERN HUB,,,HUB,,38.39,38.593850,0.602497,-0.398647,True,1
9/11/2025 8:00:00 PM,9/11/2025 4:00:00 PM,51288,WESTERN HUB,,,HUB,,42.74,44.630307,2.342600,-0.452293,True,1
9/11/2025 9:00:00 PM,9/11/2025 5:00:00 PM,51288,WESTERN HUB,,,HUB,,55.97,58.666659,3.088328,-0.391669,True,1
9/11/2025 10:00:00 PM,9/11/2025 6:00:00 PM,51288,WESTERN HUB,,,HUB,,63.85,67.327698,4.184992,-0.707294,True,1
9/11/2025 11:00:00 PM,9/11/2025 7:00:00 PM,51288,WESTERN HUB,,,HUB,,62.15,67.568947,6.674470,-1.255523,True,1
9/12/2025 12:00:00 AM,9/11/2025 8:00:00 PM,51288,WESTERN HUB,,,HUB,,45.23,48.210722,3.786349,-0.805627,True,1
9/12/2025 1:00:00 AM,9/11/2025 9:00:00 PM,51288,WESTERN HUB,,,HUB,,35.36,37.395308,2.742080,-0.706772,True,1
9/12/2025 2:00:00 AM,9/11/2025 10:00:00 PM,51288,WESTERN HUB,,,HUB,,32.48,33.819996,2.068539,-0.728543,True,1
9/12/2025 3:00:00 AM,9/11/2025 11:00:00 PM,51288,WESTERN HUB,,,HUB,,27.21,27.911248,1.017603,-0.316355,True,1
9/12/2025 4:00:00 AM,9/12/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,24.69,25.429581,0.912603,-0.173022,True,1
9/12/2025 5:00:00 AM,9/12/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,21.69,22.521977,0.874165,-0.042188,True,1
9/12/2025 6:00:00 AM,9/12/2025 2:00:00 AM,51288,WESTERN HUB,,,HUB,,19.50,20.196665,0.842707,-0.146042,True,1
9/12/2025 7:00:00 AM,9/12/2025 3:00:00 AM,51288,WESTERN HUB,,,HUB,,18.47,19.038748,0.775832,-0.207084,True,1
9/12/2025 8:00:00 AM,9/12/2025 4:00:00 AM,51288,WESTERN HUB,,,HUB,,19.29,20.008227,0.815207,-0.096980,True,1
9/12/2025 9:00:00 AM,9/12/2025 5:00:00 AM,51288,WESTERN HUB,,,HUB,,23.34,24.588539,1.185207,0.063332,True,1
9/12/2025 10:00:00 AM,9/12/2025 6:00:00 AM,51288,WESTERN HUB,,,HUB,,30.19,32.005934,1.490727,0.325207,True,1
9/12/2025 11:00:00 AM,9/12/2025 7:00:00 AM,51288,WESTERN HUB,,,HUB,,31.55,33.210517,1.005415,0.655102,True,1
9/12/2025 12:00:00 PM,9/12/2025 8:00:00 AM,51288,WESTERN HUB,,,HUB,,22.83,23.759060,0.585416,0.343644,True,1
9/12/2025 1:00:00 PM,9/12/2025 9:00:00 AM,51288,WESTERN HUB,,,HUB,,20.60,21.431665,0.511561,0.320104,True,1
9/12/2025 2:00:00 PM,9/12/2025 10:00:00 AM,51288,WESTERN HUB,,,HUB,,25.38,26.555831,0.968644,0.207187,True,1
9/12/2025 3:00:00 PM,9/12/2025 11:00:00 AM,51288,WESTERN HUB,,,HUB,,28.53,29.722080,0.992394,0.199686,True,1
9/12/2025 4:00:00 PM,9/12/2025 12:00:00 PM,51288,WESTERN HUB,,,HUB,,31.81,33.203017,1.272289,0.120728,True,1
9/12/2025 5:00:00 PM,9/12/2025 1:00:00 PM,51288,WESTERN HUB,,,HUB,,38.06,39.706349,1.641976,0.004373,True,1
9/12/2025 6:00:00 PM,9/12/2025 2:00:00 PM,51288,WESTERN HUB,,,HUB,,39.77,41.464578,1.769997,-0.075419,True,1
9/12/2025 7:00:00 PM,9/12/2025 3:00:00 PM,51288,WESTERN HUB,,,HUB,,41.23,43.972910,2.784995,-0.042085,True,1
9/12/2025 8:00:00 PM,9/12/2025 4:00:00 PM,51288,WESTERN HUB,,,HUB,,45.07,48.571243,3.472286,0.028957,True,1
9/12/2025 9:00:00 PM,9/12/2025 5:00:00 PM,51288,WESTERN HUB,,,HUB,,55.27,59.447595,3.916243,0.261352,True,1
9/12/2025 10:00:00 PM,9/12/2025 6:00:00 PM,51288,WESTERN HUB,,,HUB,,73.95,81.272590,7.467698,-0.145108,True,1
9/12/2025 11:00:00 PM,9/12/2025 7:00:00 PM,51288,WESTERN HUB,,,HUB,,71.55,80.148839,9.173113,-0.574274,True,1
9/13/2025 12:00:00 AM,9/12/2025 8:00:00 PM,51288,WESTERN HUB,,,HUB,,47.93,53.301344,5.454263,-0.082919,True,1
9/13/2025 1:00:00 AM,9/12/2025 9:00:00 PM,51288,WESTERN HUB,,,HUB,,37.86,40.800515,2.816662,0.123853,True,1
9/13/2025 2:00:00 AM,9/12/2025 10:00:00 PM,51288,WESTERN HUB,,,HUB,,34.13,36.084578,1.740205,0.214373,True,1
