datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr,total_lmp_rt,hour,day_of_week,month,day_of_year,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,lmp_diff,abs_da,relative_diff,total_lmp_da_lag_1,total_lmp_da_lag_2,total_lmp_da_lag_3,total_lmp_da_lag_4,total_lmp_da_lag_5,total_lmp_da_lag_6,total_lmp_da_lag_7,da_roll_mean_3h,da_roll_std_3h,da_roll_mean_6h,da_roll_std_6h,da_roll_mean_12h,da_roll_std_12h,da_roll_mean_24h,da_roll_std_24h,__row_idx__,warmup_lag_1,missing_source_lag_1,warmup_lag_2,missing_source_lag_2,warmup_lag_3,missing_source_lag_3,warmup_lag_4,missing_source_lag_4,warmup_lag_5,missing_source_lag_5,warmup_lag_6,missing_source_lag_6,warmup_lag_7,missing_source_lag_7,any_warmup,any_missing_source
2025-01-01 05:00:00,1/1/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,21.26,21.768124,0.15,0.358124,True,1,19.929348,5,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.8387759999999993,21.768124,-0.08447103664054832,,,,,,,,,,,,,,,,0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 06:00:00,1/1/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,20.96,21.464478,0.154583,0.349895,True,1,20.164973,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.299505,21.464478,-0.06054211986892949,,,,,,,,,,,,,,,,1,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 07:00:00,1/1/2025 2:00:00 AM,51288,WESTERN HUB,,,HUB,,20.42,21.044166,0.236771,0.387395,True,1,19.278767,7,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.7653990000000022,21.044166,-0.08389018600214435,,,,,,,,,,,,,,,,2,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 08:00:00,1/1/2025 3:00:00 AM,51288,WESTERN HUB,,,HUB,,20.45,21.104062,0.227917,0.426145,True,1,19.420208,8,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.6838540000000002,21.104062,-0.07978814694536057,,,,,,,,21.425589333333335,0.3635423534298769,,,,,,,3,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 09:00:00,1/1/2025 4:00:00 AM,51288,WESTERN HUB,,,HUB,,20.46,21.111353,0.235312,0.416041,True,1,19.565295,9,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.5460580000000022,21.111353,-0.07323348721420186,,,,,,,,21.204235333333333,0.22735779482862312,,,,,,,4,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 10:00:00,1/1/2025 5:00:00 AM,51288,WESTERN HUB,,,HUB,,20.78,21.640936,0.2325,0.628436,True,1,19.583984,10,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.056951999999999,21.640936,-0.09504912356840753,,,,,,,,21.086527,0.036866385922696754,,,,,,,5,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 11:00:00,1/1/2025 6:00:00 AM,51288,WESTERN HUB,,,HUB,,21.64,22.587603,0.343646,0.603957,True,1,19.262664,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.3249390000000005,22.587603,-0.14720194081682772,,,,,,,,21.285450333333333,0.307881201235695,21.355519833333332,0.31092319392571327,,,,,6,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 12:00:00,1/1/2025 7:00:00 AM,51288,WESTERN HUB,,,HUB,,25.66,27.183644,0.619895,0.903749,True,1,19.809183,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-7.374461,27.183644,-0.2712830185680772,,,,,,,,21.779964000000003,0.7478804076943046,21.492099666666665,0.586383592641768,,,,,7,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 13:00:00,1/1/2025 8:00:00 AM,51288,WESTERN HUB,,,HUB,,24.54,25.718436,0.290208,0.888228,True,1,19.261241,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-6.457195000000002,25.718436,-0.2510726157687039,,,,,,,,23.804061,2.964832295870878,22.445294,2.39418737394691,,,,,8,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 14:00:00,1/1/2025 9:00:00 AM,51288,WESTERN HUB,,,HUB,,23.17,23.946457,0.071146,0.705311,True,1,18.449921,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-5.496535999999999,23.946457,-0.2295344150493745,,,,,,,,25.163227666666668,2.3477841550006877,23.224339,2.5988265858061403,,,,,9,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 15:00:00,1/1/2025 10:00:00 AM,51288,WESTERN HUB,,,HUB,,23.21,24.056353,0.133333,0.71302,True,1,20.929288,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.1270650000000018,24.056353,-0.1299891550477332,,,,,,,,25.616179,1.6210142777838077,23.698071499999998,2.385323587076667,,,,,10,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 16:00:00,1/1/2025 11:00:00 AM,51288,WESTERN HUB,,,HUB,,23.26,24.181666,0.18625,0.735416,True,1,22.696093,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.4855729999999987,24.181666,-0.06143385654239037,,,,,,,,24.57374866666667,0.9928499891848201,24.188904833333336,2.0219095896530495,,,,,11,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 17:00:00,1/1/2025 12:00:00 PM,51288,WESTERN HUB,,,HUB,,22.88,23.683436,0.224062,0.579374,True,1,22.768046,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9153900000000021,23.683436,-0.038651063975683346,,,,,,,,24.061492,0.11768868004599649,24.612359833333333,1.6045319782774543,22.983939833333334,2.0265734821923984,,,12,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 18:00:00,1/1/2025 1:00:00 PM,51288,WESTERN HUB,,,HUB,,22.61,23.359374,0.213333,0.536041,True,1,21.585234,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.7741399999999992,23.359374,-0.07594980927142993,,,,,,,,23.973818333333337,0.2591664747344901,24.794998666666668,1.373734467787083,23.14354916666667,1.9973251645213281,,,13,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 19:00:00,1/1/2025 2:00:00 PM,51288,WESTERN HUB,,,HUB,,22.75,23.484895,0.192187,0.542708,True,1,20.993541,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-2.491354000000001,23.484895,-0.10608325053188447,,,,,,,,23.741491999999997,0.41420877304563636,24.157620333333337,0.8189770150866645,23.30145716666667,1.9261470509216452,,,14,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 20:00:00,1/1/2025 3:00:00 PM,51288,WESTERN HUB,,,HUB,,23.47,24.287082,0.175,0.642082,True,1,21.446753,20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-2.8403290000000005,24.287082,-0.11694813728549194,,,,,,,,23.509235,0.16339636367120344,23.7853635,0.3282010619170766,23.50485125,1.7901834154248055,,,15,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 21:00:00,1/1/2025 4:00:00 PM,51288,WESTERN HUB,,,HUB,,26.56,27.556457,0.170521,0.825936,True,1,25.915572,21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.6408850000000008,27.556457,-0.059546297987437234,,,,,,,,23.71045033333333,0.5033060099107765,23.842134333333334,0.3860084086165264,23.77010291666667,1.6308424435570628,,,16,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 22:00:00,1/1/2025 5:00:00 PM,51288,WESTERN HUB,,,HUB,,32.58,33.845207,0.055417,1.20979,True,1,32.451882,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.3933250000000044,33.845207,-0.04116757211737557,,,,,,,,25.109478,2.1567697293807164,24.425485,1.5781969262912634,24.307194916666663,1.7336779128412851,,,17,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-01 23:00:00,1/1/2025 6:00:00 PM,51288,WESTERN HUB,,,HUB,,32.48,33.623957,-0.016458,1.160415,True,1,31.793306,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1.830650999999996,33.623957,-0.05444484121842043,,,,,,,,28.562915333333336,4.857896372037828,26.036075166666667,4.136695261522626,25.3242175,3.082424500752008,,,18,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 00:00:00,1/1/2025 7:00:00 PM,51288,WESTERN HUB,,,HUB,,32.22,33.296561,-0.007708,1.084269,True,1,32.25828,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0382809999999978,33.296561,-0.0311828299625297,,,,,,,,31.675207,3.5686571791781745,27.692828666666667,4.922058210607451,26.243913666666668,3.7629929240345192,,,19,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 01:00:00,1/1/2025 8:00:00 PM,51288,WESTERN HUB,,,HUB,,32.08,32.875519,-0.009688,0.805207,True,1,34.08098,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2054609999999997,32.875519,0.03666743633765903,,,,,,,,33.588575,0.27602902523451717,29.349026499999997,4.843517818276364,26.75332341666667,4.280017364003845,,,20,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 02:00:00,1/1/2025 9:00:00 PM,51288,WESTERN HUB,,,HUB,,30.04,30.531561,-0.012917,0.504478,True,1,29.280129,2,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2514320000000012,30.531561,-0.04098814338382506,,,,,,,,33.26534566666666,0.3751941600521628,30.9141305,4.016195518103448,27.349747000000004,4.608743357657325,,,21,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 03:00:00,1/1/2025 10:00:00 PM,51288,WESTERN HUB,,,HUB,,29.6,29.859999,-0.019792,0.279791,True,1,26.475225,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.384774,29.859999,-0.11335479281161397,,,,,,,,32.234547,1.489778533402838,31.954877,2.464905683208817,27.89850566666667,4.558444644232487,,,22,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 04:00:00,1/1/2025 11:00:00 PM,51288,WESTERN HUB,,,HUB,,27.7,27.786353,-0.010208,0.096561,True,1,23.776119,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.010233999999997,27.786353,-0.14432387006671935,,,,,,,,31.089026333333333,1.5831664208166019,32.338800666666664,1.705100066453519,28.382142833333333,4.419502783580269,,,23,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 05:00:00,1/2/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,25.11,25.748331,0.243645,0.394686,True,1,28.087716,5,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.339385,25.748331,0.09085579177928076,21.768124,,,,,,,29.392637666666662,1.4310351857090224,31.328991666666663,2.318364319982729,28.68253341666667,4.226326572399599,25.833236624999998,4.356409636068533,24,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 06:00:00,1/2/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,23.79,24.316457,0.224478,0.301979,True,1,25.546258,6,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.229801000000002,24.316457,0.050574843201869495,21.464478,,,,,,,27.798227666666666,2.055859720734187,30.01638733333333,2.9125038156476575,28.854608,4.042315404861398,25.99907858333333,4.269828405492569,25,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
2025-01-02 07:00:00,1/2/2025 2:00:00 AM,51288,WESTERN HUB,,,HUB,,23.58,24.023748,0.211041,0.232707,True,1,26.041154,7,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0174059999999976,24.023748,0.0839754895863875,21.044166,,,,,,,25.95038033333333,1.7437495555638856,28.519703333333336,3.18442085557279,28.934364916666663,3.931970775244537,26.117911041666662,4.176813333624639,26,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
