Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-04-01,67,39,53.0,7.3,12,0,0.21,0.0,0
2023-04-02,50,31,40.5,-5.6,24,0,T,T,0
2023-04-03,68,34,51.0,4.5,14,0,0.00,0.0,0
2023-04-04,74,52,63.0,16.0,2,0,0.00,0.0,0
2023-04-05,85,58,71.5,24.1,0,7,0.02,0.0,0
2023-04-06,62,44,53.0,5.2,12,0,0.06,0.0,0
2023-04-07,50,35,42.5,-5.7,22,0,0.00,0.0,0
2023-04-08,54,27,40.5,-8.1,24,0,0.00,0.0,0
2023-04-09,60,34,47.0,-2.1,18,0,0.00,0.0,0
2023-04-10,68,31,49.5,0.0,15,0,0.00,0.0,0
2023-04-11,72,38,55.0,5.1,10,0,0.00,0.0,0
2023-04-12,78,55,66.5,16.2,0,2,0.00,0.0,0
2023-04-13,82,51,66.5,15.8,0,2,0.00,0.0,0
2023-04-14,81,50,65.5,14.4,0,1,0.00,0.0,0
2023-04-15,76,58,67.0,15.5,0,2,0.03,0.0,0
2023-04-16,78,47,62.5,10.6,2,0,0.28,0.0,0
2023-04-17,47,36,41.5,-10.8,23,0,0.16,T,0
2023-04-18,50,34,42.0,-10.7,23,0,0.01,T,0
2023-04-19,66,30,48.0,-5.1,17,0,0.00,0.0,0
2023-04-20,83,46,64.5,11.1,0,0,0.00,0.0,0
2023-04-21,80,56,68.0,14.2,0,3,T,0.0,0
2023-04-22,57,45,51.0,-3.2,14,0,0.48,T,0
2023-04-23,45,38,41.5,-13.0,23,0,0.01,T,0
2023-04-24,47,33,40.0,-14.9,25,0,0.02,T,0
2023-04-25,55,29,42.0,-13.2,23,0,0.00,0.0,0
2023-04-26,58,34,46.0,-9.6,19,0,T,0.0,0
2023-04-27,65,33,49.0,-6.9,16,0,0.00,0.0,0
2023-04-28,59,49,54.0,-2.2,11,0,0.76,0.0,0
2023-04-29,59,48,53.5,-3.0,11,0,T,0.0,0
2023-04-30,56,42,49.0,-7.9,16,0,0.14,0.0,0
