Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-08-01,79,59,69.0,-4.0,0,4,0.05,0.0,0
2021-08-02,78,56,67.0,-5.9,0,2,0.00,0.0,0
2021-08-03,80,56,68.0,-4.9,0,3,0.00,0.0,0
2021-08-04,82,60,71.0,-1.8,0,6,0.08,0.0,0
2021-08-05,84,60,72.0,-0.8,0,7,0.00,0.0,0
2021-08-06,86,60,73.0,0.3,0,8,0.00,0.0,0
2021-08-07,84,66,75.0,2.3,0,10,0.00,0.0,0
2021-08-08,88,65,76.5,3.9,0,12,0.00,0.0,0
2021-08-09,90,67,78.5,5.9,0,14,T,0.0,0
2021-08-10,81,67,74.0,1.5,0,9,0.60,0.0,0
2021-08-11,83,69,76.0,3.5,0,11,0.81,0.0,0
2021-08-12,90,68,79.0,6.6,0,14,0.79,0.0,0
2021-08-13,87,67,77.0,4.7,0,12,0.57,0.0,0
2021-08-14,82,65,73.5,1.2,0,9,0.04,0.0,0
2021-08-15,78,61,69.5,-2.7,0,5,T,0.0,0
2021-08-16,74,66,70.0,-2.1,0,5,0.17,0.0,0
2021-08-17,82,68,75.0,3.0,0,10,0.05,0.0,0
2021-08-18,76,69,72.5,0.6,0,8,1.67,0.0,0
2021-08-19,81,67,74.0,2.2,0,9,T,0.0,0
2021-08-20,84,65,74.5,2.8,0,10,0.00,0.0,0
2021-08-21,85,60,72.5,0.9,0,8,0.00,0.0,0
2021-08-22,86,63,74.5,3.1,0,10,0.00,0.0,0
2021-08-23,88,69,78.5,7.2,0,14,T,0.0,0
2021-08-24,87,65,76.0,4.8,0,11,0.00,0.0,0
2021-08-25,90,67,78.5,7.5,0,14,T,0.0,0
2021-08-26,86,70,78.0,7.2,0,13,T,0.0,0
2021-08-27,88,67,77.5,6.9,0,13,0.00,0.0,0
2021-08-28,88,70,79.0,8.5,0,14,0.01,0.0,0
2021-08-29,88,71,79.5,9.2,0,15,0.54,0.0,0
2021-08-30,83,69,76.0,5.9,0,11,0.04,0.0,0
2021-08-31,75,67,71.0,1.2,0,6,0.99,0.0,0
