Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-12-01,47,28,37.5,0.0,27,0,0.04,0.0,0
2021-12-02,57,43,50.0,12.8,15,0,0.01,0.0,0
2021-12-03,43,36,39.5,2.5,25,0,T,T,0
2021-12-04,51,31,41.0,4.3,24,0,0.00,0.0,0
2021-12-05,55,26,40.5,4.1,24,0,0.03,0.0,0
2021-12-06,56,29,42.5,6.4,22,0,0.41,0.0,0
2021-12-07,29,22,25.5,-10.3,39,0,0.00,0.0,0
2021-12-08,31,25,28.0,-7.5,37,0,0.01,0.1,T
2021-12-09,40,21,30.5,-4.8,34,0,T,0.0,0
2021-12-10,57,40,48.5,13.5,16,0,0.04,0.0,0
2021-12-11,63,37,50.0,15.3,15,0,0.87,0.0,0
2021-12-12,45,29,37.0,2.5,28,0,0.00,0.0,0
2021-12-13,49,28,38.5,4.3,26,0,0.00,0.0,0
2021-12-14,50,27,38.5,4.5,26,0,0.00,0.0,0
2021-12-15,57,40,48.5,14.8,16,0,T,0.0,0
2021-12-16,64,49,56.5,23.0,8,0,0.03,0.0,0
2021-12-17,49,33,41.0,7.7,24,0,0.07,0.0,0
2021-12-18,56,35,45.5,12.5,19,0,0.42,T,0
2021-12-19,36,30,33.0,0.2,32,0,0.02,0.1,0
2021-12-20,40,25,32.5,-0.1,32,0,0.00,0.0,0
2021-12-21,43,22,32.5,0.2,32,0,0.00,0.0,0
2021-12-22,35,21,28.0,-4.1,37,0,0.00,T,0
2021-12-23,48,19,33.5,1.6,31,0,0.00,0.0,0
2021-12-24,57,46,51.5,19.8,13,0,0.00,0.0,0
2021-12-25,58,43,50.5,19.0,14,0,0.63,0.0,0
2021-12-26,48,33,40.5,9.2,24,0,0.00,0.0,0
2021-12-27,54,32,43.0,11.9,22,0,0.41,0.1,0
2021-12-28,50,37,43.5,12.6,21,0,0.41,T,0
2021-12-29,50,39,44.5,13.8,20,0,0.02,0.0,0
2021-12-30,52,42,47.0,16.5,18,0,0.02,0.0,0
2021-12-31,52,46,49.0,18.7,16,0,0.01,0.0,0
