Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-02-01,48,37,42.5,13.5,22,0,0.00,0.0,0
2024-02-02,47,31,39.0,9.9,26,0,T,0.0,0
2024-02-03,47,28,37.5,8.3,27,0,0.00,0.0,0
2024-02-04,55,26,40.5,11.2,24,0,0.00,0.0,0
2024-02-05,48,30,39.0,9.5,26,0,0.00,0.0,0
2024-02-06,46,26,36.0,6.4,29,0,0.00,0.0,0
2024-02-07,54,22,38.0,8.2,27,0,0.00,0.0,0
2024-02-08,63,28,45.5,15.5,19,0,0.00,0.0,0
2024-02-09,63,49,56.0,25.9,9,0,0.01,0.0,0
2024-02-10,63,44,53.5,23.2,11,0,0.00,0.0,0
2024-02-11,48,34,41.0,10.5,24,0,0.00,0.0,0
2024-02-12,46,29,37.5,6.8,27,0,0.00,0.0,0
2024-02-13,44,31,37.5,6.6,27,0,T,T,0
2024-02-14,39,25,32.0,0.9,33,0,T,T,0
2024-02-15,56,21,38.5,7.2,26,0,0.02,0.0,0
2024-02-16,39,26,32.5,1.0,32,0,0.25,3.3,0
2024-02-17,29,18,23.5,-8.3,41,0,0.02,0.4,4
2024-02-18,37,18,27.5,-4.5,37,0,0.00,0.0,2
2024-02-19,42,18,30.0,-2.2,35,0,0.00,0.0,1
2024-02-20,52,21,36.5,4.0,28,0,0.00,0.0,T
2024-02-21,59,27,43.0,10.3,22,0,0.00,0.0,0
2024-02-22,49,42,45.5,12.5,19,0,0.60,0.0,0
2024-02-23,58,37,47.5,14.3,17,0,0.02,0.0,0
2024-02-24,37,23,30.0,-3.5,35,0,0.03,0.5,0
2024-02-25,47,18,32.5,-1.2,32,0,0.00,0.0,0
2024-02-26,65,34,49.5,15.5,15,0,0.00,0.0,0
2024-02-27,66,48,57.0,22.7,8,0,0.12,0.0,0
2024-02-28,64,27,45.5,11.0,19,0,0.69,T,0
2024-02-29,39,22,30.5,-4.2,34,0,T,T,0
