Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-07-01,73,63,68.0,-4.5,0,3,0.46,0.0,0
2021-07-02,71,57,64.0,-8.7,1,0,T,0.0,0
2021-07-03,77,58,67.5,-5.3,0,3,0.00,0.0,0
2021-07-04,84,59,71.5,-1.4,0,7,0.00,0.0,0
2021-07-05,87,63,75.0,2.1,0,10,0.00,0.0,0
2021-07-06,89,73,81.0,8.0,0,16,0.00,0.0,0
2021-07-07,88,66,77.0,3.9,0,12,0.23,0.0,0
2021-07-08,79,66,72.5,-0.7,0,8,0.72,0.0,0
2021-07-09,77,59,68.0,-5.2,0,3,0.03,0.0,0
2021-07-10,75,54,64.5,-8.7,0,0,0.00,0.0,0
2021-07-11,83,64,73.5,0.2,0,9,0.39,0.0,0
2021-07-12,84,70,77.0,3.7,0,12,0.00,0.0,0
2021-07-13,85,68,76.5,3.2,0,12,0.25,0.0,0
2021-07-14,84,70,77.0,3.7,0,12,0.01,0.0,0
2021-07-15,84,68,76.0,2.6,0,11,0.02,0.0,0
2021-07-16,87,68,77.5,4.1,0,13,0.40,0.0,0
2021-07-17,80,63,71.5,-1.9,0,7,0.12,0.0,0
2021-07-18,82,59,70.5,-2.8,0,6,T,0.0,0
2021-07-19,82,62,72.0,-1.3,0,7,0.00,0.0,0
2021-07-20,83,63,73.0,-0.3,0,8,T,0.0,0
2021-07-21,79,62,70.5,-2.8,0,6,0.00,0.0,0
2021-07-22,78,56,67.0,-6.3,0,2,0.00,0.0,0
2021-07-23,80,59,69.5,-3.8,0,5,0.00,0.0,0
2021-07-24,83,64,73.5,0.3,0,9,0.01,0.0,0
2021-07-25,85,70,77.5,4.3,0,13,0.00,0.0,0
2021-07-26,88,66,77.0,3.8,0,12,0.00,0.0,0
2021-07-27,88,59,73.5,0.4,0,9,0.00,0.0,0
2021-07-28,87,64,75.5,2.4,0,11,0.00,0.0,0
2021-07-29,81,65,73.0,-0.1,0,8,0.36,0.0,0
2021-07-30,80,62,71.0,-2.0,0,6,0.00,0.0,0
2021-07-31,77,58,67.5,-5.5,0,3,0.00,0.0,0
