Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-06-01,88,66,77.0,11.5,0,12,0.81,0.0,0
2022-06-02,73,54,63.5,-2.3,1,0,0.16,0.0,0
2022-06-03,76,50,63.0,-3.1,2,0,0.00,0.0,0
2022-06-04,74,51,62.5,-3.9,2,0,0.00,0.0,0
2022-06-05,78,54,66.0,-0.7,0,1,0.00,0.0,0
2022-06-06,82,56,69.0,2.0,0,4,T,0.0,0
2022-06-07,74,60,67.0,-0.3,0,2,0.64,0.0,0
2022-06-08,77,52,64.5,-3.0,0,0,0.57,0.0,0
2022-06-09,69,57,63.0,-4.8,2,0,T,0.0,0
2022-06-10,75,53,64.0,-4.1,1,0,0.00,0.0,0
2022-06-11,75,57,66.0,-2.4,0,1,T,0.0,0
2022-06-12,79,61,70.0,1.4,0,5,T,0.0,0
2022-06-13,86,68,77.0,8.1,0,12,0.01,0.0,0
2022-06-14,79,66,72.5,3.3,0,8,0.13,0.0,0
2022-06-15,92,69,80.5,11.1,0,16,0.00,0.0,0
2022-06-16,91,71,81.0,11.3,0,16,0.00,0.0,0
2022-06-17,84,68,76.0,6.1,0,11,0.00,0.0,0
2022-06-18,71,53,62.0,-8.2,3,0,0.00,0.0,0
2022-06-19,74,46,60.0,-10.4,5,0,0.00,0.0,0
2022-06-20,70,56,63.0,-7.6,2,0,T,0.0,0
2022-06-21,89,60,74.5,3.6,0,10,0.00,0.0,0
2022-06-22,94,68,81.0,9.9,0,16,0.43,0.0,0
2022-06-23,83,65,74.0,2.7,0,9,0.00,0.0,0
2022-06-24,83,57,70.0,-1.5,0,5,0.00,0.0,0
2022-06-25,88,59,73.5,1.9,0,9,0.00,0.0,0
2022-06-26,83,68,75.5,3.7,0,11,0.03,0.0,0
2022-06-27,77,57,67.0,-5.0,0,2,0.22,0.0,0
2022-06-28,76,53,64.5,-7.6,0,0,0.00,0.0,0
2022-06-29,82,54,68.0,-4.3,0,3,0.00,0.0,0
2022-06-30,87,56,71.5,-0.9,0,7,0.00,0.0,0
