Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-03-01,58,27,42.5,7.7,22,0,0.21,0.1,0
2021-03-02,38,19,28.5,-6.6,36,0,0.00,0.0,0
2021-03-03,55,26,40.5,5.1,24,0,0.00,0.0,0
2021-03-04,41,22,31.5,-4.2,33,0,0.05,0.0,0
2021-03-05,37,18,27.5,-8.5,37,0,0.00,T,0
2021-03-06,39,23,31.0,-5.3,34,0,0.00,0.0,0
2021-03-07,41,15,28.0,-8.6,37,0,0.00,0.0,0
2021-03-08,54,18,36.0,-0.9,29,0,0.00,0.0,0
2021-03-09,64,45,54.5,17.3,10,0,0.00,0.0,0
2021-03-10,68,38,53.0,15.5,12,0,0.00,0.0,0
2021-03-11,63,55,59.0,21.2,6,0,0.24,0.0,0
2021-03-12,59,38,48.5,10.4,16,0,0.06,0.0,0
2021-03-13,49,26,37.5,-1.0,27,0,0.00,0.0,0
2021-03-14,53,28,40.5,1.7,24,0,0.00,0.0,0
2021-03-15,41,21,31.0,-8.2,34,0,T,0.0,0
2021-03-16,61,40,50.5,11.0,14,0,T,0.0,0
2021-03-17,65,33,49.0,9.1,16,0,T,0.0,0
2021-03-18,54,37,45.5,5.3,19,0,2.19,0.0,0
2021-03-19,47,29,38.0,-2.6,27,0,0.00,0.0,0
2021-03-20,57,26,41.5,0.6,23,0,0.00,0.0,0
2021-03-21,64,29,46.5,5.2,18,0,0.00,0.0,0
2021-03-22,66,35,50.5,8.8,14,0,0.00,0.0,0
2021-03-23,67,36,51.5,9.4,13,0,0.00,0.0,0
2021-03-24,73,52,62.5,20.0,2,0,0.05,0.0,0
2021-03-25,72,48,60.0,17.1,5,0,T,0.0,0
2021-03-26,64,48,56.0,12.8,9,0,0.05,0.0,0
2021-03-27,68,41,54.5,10.9,10,0,0.00,0.0,0
2021-03-28,60,36,48.0,3.9,17,0,0.78,T,0
2021-03-29,51,34,42.5,-2.0,22,0,T,T,0
2021-03-30,72,35,53.5,8.6,11,0,0.00,0.0,0
2021-03-31,63,38,50.5,5.2,14,0,0.30,0.0,0
