Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-05-01,80,50,65.0,7.8,0,0,0.00,0.0,0
2024-05-02,85,57,71.0,13.5,0,6,0.00,0.0,0
2024-05-03,87,57,72.0,14.2,0,7,0.07,0.0,0
2024-05-04,65,57,61.0,3.0,4,0,0.32,0.0,0
2024-05-05,78,56,67.0,8.7,0,2,0.37,0.0,0
2024-05-06,73,60,66.5,7.9,0,2,0.00,0.0,0
2024-05-07,78,58,68.0,9.1,0,3,0.01,0.0,0
2024-05-08,81,63,72.0,12.8,0,7,0.64,0.0,0
2024-05-09,65,53,59.0,-0.4,6,0,0.37,0.0,0
2024-05-10,62,46,54.0,-5.7,11,0,0.22,0.0,0
2024-05-11,60,43,51.5,-8.5,13,0,0.80,0.0,0
2024-05-12,66,47,56.5,-3.7,8,0,0.00,0.0,0
2024-05-13,80,45,62.5,2.0,2,0,0.00,0.0,0
2024-05-14,68,58,63.0,2.3,2,0,T,0.0,0
2024-05-15,78,61,69.5,8.5,0,5,0.10,0.0,0
2024-05-16,76,60,68.0,6.7,0,3,0.00,0.0,0
2024-05-17,70,57,63.5,2.0,1,0,0.39,0.0,0
2024-05-18,81,63,72.0,10.2,0,7,1.16,0.0,0
2024-05-19,85,57,71.0,9.0,0,6,0.00,0.0,0
2024-05-20,86,57,71.5,9.2,0,7,0.00,0.0,0
2024-05-21,87,64,75.5,12.9,0,11,0.00,0.0,0
2024-05-22,84,67,75.5,12.7,0,11,T,0.0,0
2024-05-23,79,66,72.5,9.4,0,8,T,0.0,0
2024-05-24,84,63,73.5,10.2,0,9,0.00,0.0,0
2024-05-25,83,62,72.5,8.9,0,8,0.55,0.0,0
2024-05-26,82,64,73.0,9.1,0,8,0.19,0.0,0
2024-05-27,78,62,70.0,5.8,0,5,0.10,0.0,0
2024-05-28,75,58,66.5,2.1,0,2,0.09,0.0,0
2024-05-29,65,55,60.0,-4.7,5,0,0.23,0.0,0
2024-05-30,69,49,59.0,-6.0,6,0,0.00,0.0,0
2024-05-31,74,44,59.0,-6.3,6,0,0.00,0.0,0
