time,apparent_temperature (°C),pressure_msl (hPa),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³)
2025-01-01T00:00,0.6,999.3,24.8,1.9,0.38
2025-01-01T01:00,0.5,999.6,24.5,2.1,0.38
2025-01-01T02:00,-0.1,999.3,28.1,2.1,0.379
2025-01-01T03:00,-1.1,999.4,31.3,1.9,0.379
2025-01-01T04:00,-1.4,1000.1,36.4,1.8,0.378
2025-01-01T05:00,-2.8,1001.1,40.3,1.5,0.378
2025-01-01T06:00,-4.9,1002.9,58.0,2.1,0.387
2025-01-01T07:00,-5.2,1004.2,62.6,1.5,0.387
2025-01-01T08:00,-4.9,1005.2,66.6,1.3,0.386
2025-01-01T09:00,-5.7,1005.8,80.3,1.3,0.386
2025-01-01T10:00,-5.4,1005.2,87.1,1.5,0.385
2025-01-01T11:00,-5.5,1005.7,89.3,1.8,0.384
2025-01-01T12:00,-5.5,1006.6,85.3,1.8,0.383
2025-01-01T13:00,-5.6,1008.1,81.4,1.6,0.382
2025-01-01T14:00,-5.3,1009.1,72.4,1.4,0.381
2025-01-01T15:00,-5.5,1010.4,61.6,1.0,0.381
2025-01-01T16:00,-6.2,1011.3,52.9,0.5,0.38
2025-01-01T17:00,-6.5,1012.0,48.2,0.4,0.38
2025-01-01T18:00,-6.9,1012.5,50.0,0.3,0.377
2025-01-01T19:00,-7.5,1012.7,52.6,0.3,0.377
2025-01-01T20:00,-8.0,1013.2,53.6,0.3,0.377
2025-01-01T21:00,-8.3,1013.6,52.6,0.2,0.376
2025-01-01T22:00,-8.8,1014.2,49.0,0.2,0.376
2025-01-01T23:00,-9.0,1014.8,47.9,0.1,0.376
2025-01-02T00:00,-9.5,1015.3,50.0,0.1,0.375
2025-01-02T01:00,-9.4,1015.6,58.0,0.1,0.375
2025-01-02T02:00,-10.2,1015.5,60.8,0.0,0.375
2025-01-02T03:00,-10.3,1015.7,61.2,0.0,0.374
2025-01-02T04:00,-10.6,1016.3,65.5,-0.0,0.374
2025-01-02T05:00,-10.3,1017.4,61.6,-0.1,0.374
2025-01-02T06:00,-9.2,1018.3,51.5,0.5,0.373
2025-01-02T07:00,-9.5,1019.2,59.0,0.4,0.373
2025-01-02T08:00,-9.1,1020.0,60.5,0.3,0.373
2025-01-02T09:00,-9.2,1019.6,60.8,0.3,0.372
2025-01-02T10:00,-9.4,1018.7,63.0,0.3,0.372
2025-01-02T11:00,-9.0,1018.2,64.8,0.3,0.371
2025-01-02T12:00,-8.6,1018.2,61.9,0.2,0.371
2025-01-02T13:00,-8.8,1018.0,57.2,0.2,0.37
2025-01-02T14:00,-9.2,1018.6,54.4,0.2,0.37
2025-01-02T15:00,-9.7,1019.1,54.0,0.1,0.369
2025-01-02T16:00,-9.4,1019.4,51.8,0.1,0.369
2025-01-02T17:00,-9.5,1019.5,47.5,0.1,0.369
2025-01-02T18:00,-10.4,1019.7,57.2,-0.2,0.369
2025-01-02T19:00,-10.8,1019.6,53.6,-0.3,0.369
2025-01-02T20:00,-11.1,1019.6,52.2,-0.3,0.368
2025-01-02T21:00,-11.1,1019.7,51.8,-0.3,0.368
2025-01-02T22:00,-11.2,1019.7,49.0,-0.3,0.368
2025-01-02T23:00,-11.6,1019.3,48.2,-0.4,0.368
2025-01-03T00:00,-11.2,1019.4,48.2,-0.4,0.368
2025-01-03T01:00,-10.9,1019.2,43.6,-0.4,0.367
2025-01-03T02:00,-10.9,1018.7,42.8,-0.5,0.367
2025-01-03T03:00,-11.1,1018.4,42.8,-0.5,0.367
2025-01-03T04:00,-10.9,1017.8,40.0,-0.5,0.367
2025-01-03T05:00,-11.2,1017.6,32.4,-0.6,0.367
2025-01-03T06:00,-10.8,1016.7,29.2,-0.6,0.367
2025-01-03T07:00,-10.1,1016.0,39.6,-0.6,0.366
2025-01-03T08:00,-8.7,1015.1,47.2,-0.6,0.366
2025-01-03T09:00,-7.3,1014.0,44.6,-0.6,0.366
2025-01-03T10:00,-6.8,1012.5,38.5,-0.6,0.366
2025-01-03T11:00,-6.4,1011.2,34.6,-0.6,0.366
2025-01-03T12:00,-6.5,1010.8,32.8,-0.6,0.365
2025-01-03T13:00,-6.8,1010.6,32.0,-0.6,0.365
2025-01-03T14:00,-7.5,1010.7,33.1,-0.6,0.365
2025-01-03T15:00,-8.2,1011.3,33.1,-0.6,0.365
