Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-11-01,60,48,54.0,6.4,11,0,0.01,0.0,0
2022-11-02,57,44,50.5,3.3,14,0,0.00,0.0,0
2022-11-03,68,40,54.0,7.1,11,0,0.00,0.0,0
2022-11-04,71,47,59.0,12.5,6,0,0.00,0.0,0
2022-11-05,79,57,68.0,21.8,0,3,0.04,0.0,0
2022-11-06,74,59,66.5,20.7,0,2,T,0.0,0
2022-11-07,65,44,54.5,9.0,10,0,0.00,0.0,0
2022-11-08,56,38,47.0,1.9,18,0,0.00,0.0,0
2022-11-09,65,35,50.0,5.2,15,0,0.00,0.0,0
2022-11-10,68,40,54.0,9.6,11,0,0.00,0.0,0
2022-11-11,63,53,58.0,13.9,7,0,2.36,0.0,0
2022-11-12,56,34,45.0,1.3,20,0,0.21,T,0
2022-11-13,40,33,36.5,-6.9,28,0,T,T,0
2022-11-14,38,31,34.5,-8.6,30,0,0.00,0.0,0
2022-11-15,38,29,33.5,-9.2,31,0,0.24,1.6,0
2022-11-16,37,31,34.0,-8.4,31,0,0.07,0.6,T
2022-11-17,35,29,32.0,-10.0,33,0,0.01,0.1,T
2022-11-18,32,25,28.5,-13.2,36,0,0.04,0.9,0
2022-11-19,31,20,25.5,-15.9,39,0,0.01,0.1,T
2022-11-20,29,19,24.0,-17.0,41,0,T,T,0
2022-11-21,43,17,30.0,-10.7,35,0,0.00,0.0,0
2022-11-22,50,27,38.5,-1.9,26,0,0.00,0.0,0
2022-11-23,55,30,42.5,2.5,22,0,0.00,0.0,0
2022-11-24,60,26,43.0,3.3,22,0,0.00,0.0,0
2022-11-25,51,33,42.0,2.6,23,0,0.13,0.0,0
2022-11-26,52,31,41.5,2.4,23,0,0.00,0.0,0
2022-11-27,60,38,49.0,10.2,16,0,0.51,0.0,0
2022-11-28,48,39,43.5,5.0,21,0,0.03,0.0,0
2022-11-29,53,39,46.0,7.9,19,0,0.00,0.0,0
2022-11-30,55,30,42.5,4.7,22,0,0.40,T,0
