Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-10-01,54,50,52.0,-7.1,13,0,0.45,0.0,0
2022-10-02,66,49,57.5,-1.2,7,0,0.05,0.0,0
2022-10-03,63,40,51.5,-6.8,13,0,0.00,0.0,0
2022-10-04,59,42,50.5,-7.4,14,0,0.00,0.0,0
2022-10-05,71,43,57.0,-0.5,8,0,0.00,0.0,0
2022-10-06,67,44,55.5,-1.6,9,0,0.00,0.0,0
2022-10-07,58,45,51.5,-5.2,13,0,T,0.0,0
2022-10-08,53,39,46.0,-10.3,19,0,0.00,0.0,0
2022-10-09,59,37,48.0,-8.0,17,0,0.00,0.0,0
2022-10-10,66,42,54.0,-1.6,11,0,0.00,0.0,0
2022-10-11,69,43,56.0,0.8,9,0,0.00,0.0,0
2022-10-12,71,44,57.5,2.7,7,0,0.07,0.0,0
2022-10-13,61,42,51.5,-2.9,13,0,0.43,0.0,0
2022-10-14,61,35,48.0,-6.1,17,0,0.00,0.0,0
2022-10-15,61,37,49.0,-4.7,16,0,0.00,0.0,0
2022-10-16,64,36,50.0,-3.3,15,0,0.00,0.0,0
2022-10-17,55,40,47.5,-5.5,17,0,0.00,0.0,0
2022-10-18,43,35,39.0,-13.6,26,0,0.02,T,0
2022-10-19,43,34,38.5,-13.7,26,0,0.12,T,0
2022-10-20,52,33,42.5,-9.4,22,0,0.00,0.0,0
2022-10-21,63,34,48.5,-3.0,16,0,0.00,0.0,0
2022-10-22,71,39,55.0,3.9,10,0,0.00,0.0,0
2022-10-23,72,36,54.0,3.2,11,0,0.00,0.0,0
2022-10-24,73,37,55.0,4.6,10,0,0.00,0.0,0
2022-10-25,73,40,56.5,6.4,8,0,0.00,0.0,0
2022-10-26,60,46,53.0,3.3,12,0,0.32,0.0,0
2022-10-27,55,42,48.5,-0.9,16,0,0.00,0.0,0
2022-10-28,57,37,47.0,-2.0,18,0,0.00,0.0,0
2022-10-29,63,32,47.5,-1.2,17,0,0.00,0.0,0
2022-10-30,63,36,49.5,1.2,15,0,0.00,0.0,0
2022-10-31,62,49,55.5,7.6,9,0,0.30,0.0,0
