Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-09-01,81,60,70.5,0.9,0,6,0.00,0.0,0
2022-09-02,84,59,71.5,2.1,0,7,0.00,0.0,0
2022-09-03,81,65,73.0,3.9,0,8,T,0.0,0
2022-09-04,76,65,70.5,1.6,0,6,0.83,0.0,0
2022-09-05,76,67,71.5,2.9,0,7,1.71,0.0,0
2022-09-06,75,66,70.5,2.2,0,6,0.06,0.0,0
2022-09-07,77,64,70.5,2.5,0,6,0.04,0.0,0
2022-09-08,78,60,69.0,1.3,0,4,0.00,0.0,0
2022-09-09,81,56,68.5,1.1,0,4,0.00,0.0,0
2022-09-10,73,60,66.5,-0.6,0,2,T,0.0,0
2022-09-11,74,63,68.5,1.8,0,4,0.90,0.0,0
2022-09-12,75,57,66.0,-0.4,0,1,0.01,0.0,0
2022-09-13,67,52,59.5,-6.6,5,0,0.00,0.0,0
2022-09-14,74,52,63.0,-2.7,2,0,0.00,0.0,0
2022-09-15,75,56,65.5,0.1,0,1,0.00,0.0,0
2022-09-16,78,53,65.5,0.5,0,1,0.00,0.0,0
2022-09-17,79,55,67.0,2.4,0,2,0.00,0.0,0
2022-09-18,80,61,70.5,6.3,0,6,0.00,0.0,0
2022-09-19,74,63,68.5,4.6,0,4,0.33,0.0,0
2022-09-20,78,58,68.0,4.5,0,3,0.00,0.0,0
2022-09-21,83,59,71.0,7.9,0,6,0.01,0.0,0
2022-09-22,71,48,59.5,-3.2,5,0,0.70,0.0,0
2022-09-23,61,42,51.5,-10.8,13,0,0.00,0.0,0
2022-09-24,65,46,55.5,-6.4,9,0,0.00,0.0,0
2022-09-25,70,55,62.5,1.0,2,0,0.27,0.0,0
2022-09-26,66,50,58.0,-3.1,7,0,0.03,0.0,0
2022-09-27,59,45,52.0,-8.7,13,0,0.13,0.0,0
2022-09-28,60,43,51.5,-8.8,13,0,0.13,0.0,0
2022-09-29,60,47,53.5,-6.4,11,0,0.00,0.0,0
2022-09-30,59,42,50.5,-9.0,14,0,0.00,0.0,0
